transaction_id,customer_id,transaction_ts,transaction_type,status,amount,currency,provider_reference,ingested_at
APPA00103,CUST041,2026-03-05T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00103,2026-03-05T10:20:00Z
APPA00067,CUST036,2026-02-09T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00067,2026-02-09T10:20:00Z
APPA00229,CUST048,2026-06-09T10:15:00Z,token_purchase,succeeded,10.00,EUR,provider-appa00229,2026-06-09T10:20:00Z
APPA00082,CUST020,2026-03-04T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00082,2026-03-04T10:20:00Z
APPA00173,CUST049,2026-05-15T10:15:00Z,subscription_renewal,succeeded,29.00,GBP,provider-appa00173,2026-05-15T10:20:00Z
APPA00146,CUST053,2026-04-08T10:15:00Z,subscription_renewal,succeeded,44.00,EUR,provider-appa00146,2026-04-08T10:20:00Z
APPA00114,CUST036,2026-03-14T10:15:00Z,token_purchase,succeeded,25.00,USD,provider-appa00114,2026-03-14T10:20:00Z
APPA00196,CUST060,2026-05-16T10:15:00Z,token_purchase,succeeded,31.00,USD,provider-appa00196,2026-05-16T10:20:00Z
APPA00132,CUST039,2026-04-14T10:15:00Z,subscription_renewal,succeeded,74.00,GBP,provider-appa00132,2026-04-14T10:20:00Z
APPA00047,CUST016,2026-02-09T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00047,2026-02-09T10:20:00Z
APPA00193,CUST051,2026-05-13T10:15:00Z,token_purchase,succeeded,22.00,USD,provider-appa00193,2026-05-13T10:20:00Z
APPA00099,CUST037,2026-03-21T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00099,2026-03-21T10:20:00Z
APPA00238,CUST050,2026-06-20T10:15:00Z,refund,succeeded,7.00,USD,provider-appa00238,2026-06-20T10:20:00Z
APPA00096,CUST034,2026-03-18T10:15:00Z,subscription_renewal,succeeded,74.00,GBP,provider-appa00096,2026-03-18T10:20:00Z
APPA00185,CUST061,2026-05-07T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00185,2026-05-07T10:20:00Z
APPA00137,CUST044,2026-04-19T10:15:00Z,subscription_renewal,failed,29.00,GBP,provider-appa00137,2026-04-19T10:20:00Z
APPA00084,CUST022,2026-03-06T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00084,2026-03-06T10:20:00Z
APPA00066,CUST035,2026-02-08T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00066,2026-02-08T10:20:00Z
APPA00106,CUST044,2026-03-08T10:15:00Z,subscription_renewal,succeeded,44.00,GBP,provider-appa00106,2026-03-08T10:20:00Z
APPA00211,CUST056,2026-06-13T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00211,2026-06-13T10:20:00Z
APPA00153,CUST042,2026-04-13T10:15:00Z,token_purchase,succeeded,22.00,USD,provider-appa00153,2026-04-13T10:20:00Z
APPA00134,CUST041,2026-04-16T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00134,2026-04-16T10:20:00Z
APPA00115,CUST039,2026-03-15T10:15:00Z,token_purchase,succeeded,28.00,GBP,provider-appa00115,2026-03-15T10:20:00Z
APPA00023,CUST023,2026-01-05T10:15:00Z,subscription_renewal,succeeded,64.00,EUR,provider-appa00023-corrected,2026-01-05T16:20:00Z
APPA00090,CUST028,2026-03-12T10:15:00Z,subscription_renewal,succeeded,44.00,EUR,provider-appa00090,2026-03-12T10:20:00Z
APPA00131,CUST038,2026-04-13T10:15:00Z,subscription_renewal,succeeded,59.00,EUR,provider-appa00131,2026-04-13T10:20:00Z
APPA00192,CUST048,2026-05-12T10:15:00Z,token_purchase,succeeded,19.00,EUR,provider-appa00192,2026-05-12T10:20:00Z
APPA00098,CUST036,2026-03-20T10:15:00Z,subscription_renewal,failed,44.00,USD,provider-appa00098,2026-03-20T10:20:00Z
APPA00124,CUST031,2026-04-06T10:15:00Z,subscription_renewal,succeeded,74.00,USD,provider-appa00124,2026-04-06T10:20:00Z
APPA00078,CUST014,2026-02-20T10:15:00Z,refund,succeeded,7.00,GBP,provider-appa00078,2026-02-20T10:20:00Z
APPA00097,CUST035,2026-03-19T10:15:00Z,subscription_renewal,succeeded,29.00,USD,provider-appa00097,2026-03-19T10:20:00Z
APPA00007,CUST007,2026-01-09T10:15:00Z,subscription_renewal,succeeded,59.00,USD,provider-appa00007,2026-01-09T10:20:00Z
APPA00101,CUST039,2026-03-03T10:15:00Z,subscription_renewal,succeeded,29.00,GBP,provider-appa00101,2026-03-03T10:20:00Z
APPA00073,CUST024,2026-02-13T10:15:00Z,token_purchase,succeeded,22.00,GBP,provider-appa00073,2026-02-13T10:20:00Z
APPA00002,CUST002,2026-01-04T10:15:00Z,subscription_renewal,succeeded,44.00,USD,provider-appa00002,2026-01-04T10:20:00Z
